datum,cas_marker,activity_type,routing,layover_ort,overnight,starts_at_homebase,ends_at_homebase,duty_min,has_fl,aerotax_klass,aerotax_eur,aerotax_reason,aerotax_bmf_land,aerotax_counted_as_workday,golden_klass,golden_land,golden_eur,golden_dauer_h,golden_pos_in_tour,golden_is_anreise,golden_is_abreise,klass_match,eur_diff
2025-01-01,U,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-02,U,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-03,31591 P1,tour,FRA→BLR,BLR,True,True,False,784,False,Z76,28.0,Auslands-Layover BLR (Z76 An/Ab),Indien – Bangalore,True,Z73,Deutschland,14,13.75,1/4,True,False,False,14.0
2025-01-04,X,frei,,BLR,True,False,False,0,False,Frei,0,frei,,False,Z76,Indien - Bangalore,42,24.0,2/4,False,False,False,-42
2025-01-05,755 LH755-1,tour,BLR→FRA,BLR,True,False,False,31,False,Z73,14.0,Auslandstour-Anreise mit Abend-Briefing 23:28 (>= 18:00) → Inland-Anreise 14€,,True,Z76,Indien - Bangalore,42,24.0,3/4,False,False,False,-28.0
2025-01-06,755 LH755-1,same_day,BLR→FRA,,False,True,True,561,False,Issue,0,Heimkehr aus Vortag-Tour — separater Tour-Abschluss,,False,Z76,Indien - Bangalore,28,11.516666666666667,4/4,False,True,False,-28
2025-01-07,ORTSTAG OF,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-08,==,unknown,,,False,False,False,0,False,ZeroDay,0,Activity-Type unknown ohne SE/Cluster-Spur — nicht als Arbeitstag gewertet,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-09,==,unknown,,,False,False,False,0,False,ZeroDay,0,Activity-Type unknown ohne SE/Cluster-Spur — nicht als Arbeitstag gewertet,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-10,EM,training,FRA,,False,True,True,210,False,Office,0,Schulung am Homebase,,True,NO_VMA,-,0,5.333333333333333,1/1,True,True,False,0
2025-01-11,56381 PU,same_day,FRA→CPH→BER,,False,True,True,496,False,Z76,50.0,Same-Day Auslandstrip CPH (Z76 >8h),Dänemark,True,Z76,Dänemark,50,11.1,1/1,True,True,True,0.0
2025-01-12,ORTSTAG FRS,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-13,ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-14,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-15,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-16,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-17,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-18,49444 P1 /ZH,tour,FRA→HKG,HKG,True,True,False,239,False,Z73,14.0,Auslandstour-Anreise mit FRA-Stempel + Abend-Briefing 20:00 → Inland 14€,,True,Z73,Deutschland,14,4.666666666666667,1/5,True,False,True,0.0
2025-01-19,796 LH796-1,tour,FRA→HKG,HKG,True,False,False,546,False,Z76,48.0,Auslands-Layover HKG (Z76 An/Ab),China – Hongkong,True,Z76,China - Hong Kong,71,24.0,2/5,False,False,True,-23.0
2025-01-20,X HKG,frei,,HKG,True,False,False,0,False,Frei,0,frei,,False,Z76,China - Hong Kong,71,24.0,3/5,False,False,False,-71
2025-01-21,797 LH797-1,tour,HKG→FRA,HKG,True,False,False,497,False,Z76,48.0,Auslands-Layover HKG (Z76 An/Ab),China – Hongkong,True,Z76,China - Hong Kong,71,24.0,4/5,False,False,True,-23.0
2025-01-22,797 LH797-1,same_day,HKG→FRA,,False,True,True,321,False,Z76,48.0,"Same-Day Auslandstrip HKG (Z76 >8h, prev_overnight=true Sonnet-Lesefehler)",China – Hongkong,True,Z76,China - Hong Kong,48,7.516666666666667,5/5,False,True,True,0.0
2025-01-23,FRS ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-24,ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-25,ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-26,ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-27,ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-28,,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-29,,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-30,LMN_HT1,training,FRA,,False,True,True,240,False,Office,0,Schulung am Homebase,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-01-31,,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-01,SB_S,standby,FRA,,False,False,False,480,False,Standby,0,"Standby zuhause — AT, kein FT, kein VMA",,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-02,SB_S,standby,FRA,,False,False,False,480,False,Standby,0,"Standby zuhause — AT, kein FT, kein VMA",,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-03,,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-04,SB_S,standby,FRA,,False,False,False,480,False,Standby,0,"Standby zuhause — AT, kein FT, kein VMA",,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-05,SB_S,standby,FRA,,False,False,False,480,False,Standby,0,"Standby zuhause — AT, kein FT, kein VMA",,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-06,,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-07,,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-08,ORTSTAG OF,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-09,ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-10,68617 PU,same_day,FRA→DUS,,False,True,True,385,False,ZeroDay,0,"Same-Day < 8h (total=445min, duty_plus_commute) — kein VMA",,True,Z72,Deutschland,14,9.25,1/1,True,True,False,-14
2025-02-11,FRS ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-12,60402 PE /JA,tour,FRA→HND,HND,True,True,False,704,False,Z76,33.0,"Auslandstour-An/Ab (Homebase-Stempel FRA, Ziel TYO) Z76",Japan – Tokio,True,Z73,Deutschland,14,12.416666666666666,1/4,True,False,False,19.0
2025-02-13,716 LH716-1,tour,FRA→HND,HND,True,False,False,105,False,Z76,33.0,Auslands-Layover TYO (Z76 An/Ab),Japan – Tokio,True,Z76,Japan - Tokyo,50,24.0,2/4,False,False,True,-17.0
2025-02-14,X HND,frei,,HND,True,False,False,0,False,Frei,0,frei,,False,Z76,Japan - Tokyo,50,24.0,3/4,False,False,False,-50
2025-02-15,717 LH717-1,same_day,HND→FRA,,False,True,True,865,False,Z76,33.0,"Same-Day Auslandstrip TYO (Z76 >8h, prev_overnight=true Sonnet-Lesefehler)",Japan – Tokio,True,Z76,Japan - Tokyo,33,20.25,4/4,False,True,True,0.0
2025-02-16,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-17,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-18,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-19,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-20,==,unknown,,,False,False,False,0,False,ZeroDay,0,Activity-Type unknown ohne SE/Cluster-Spur — nicht als Arbeitstag gewertet,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-21,== FZ,unknown,,,False,False,False,0,False,ZeroDay,0,Activity-Type unknown ohne SE/Cluster-Spur — nicht als Arbeitstag gewertet,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-22,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-23,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-24,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-25,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-26,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-27,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-02-28,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-01,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-02,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-03,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-04,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-05,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-06,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-07,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-08,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-09,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-10,U1,urlaub,,,False,False,False,0,False,Frei,0,urlaub,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-11,--,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-12,== OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-13,== OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-14,== OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-15,== OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-16,82907 PU,tour,FRA→DUS→SVG,SVG,True,True,False,1114,False,Z76,50.0,Auslands-Layover SVG (Z76 An/Ab),Norwegen,True,Z76,Norwegen,50,11.083333333333334,1/1,True,True,True,0.0
